10m_sample,Conductivity,Debit Riviere,Niveau Riviere,O2,Pression EF,Pression Pompe,Probe Tank Temperature,Pump Flow,Riverlab,Turbidity,day_sample,hour_sample,pH,timedate
False,596.0,NULL,NULL,8.5,0.658,1.729,23.5,999,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 20:22:00 GMT"
False,596.0,NULL,NULL,8.5,0.658,1.686,23.5,1005,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 20:23:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.809,23.5,999,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 20:24:00 GMT"
False,596.0,NULL,NULL,8.5,0.658,1.726,23.5,997,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 20:25:00 GMT"
False,596.0,NULL,NULL,8.5,0.658,1.662,23.5,1004,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 20:26:00 GMT"
False,596.0,NULL,NULL,8.5,0.659,1.967,23.5,1009,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 20:27:00 GMT"
False,596.0,NULL,NULL,8.5,0.658,1.804,23.5,993,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 20:28:00 GMT"
False,596.0,NULL,NULL,8.5,0.658,1.937,23.5,1010,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 20:29:00 GMT"
True,596.0,NULL,NULL,8.5,0.658,1.813,23.5,985,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 20:30:00 GMT"
False,596.0,NULL,NULL,8.5,0.658,1.89,23.5,994,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 20:31:00 GMT"
False,596.0,NULL,NULL,8.5,0.658,1.851,23.5,986,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 20:32:00 GMT"
False,596.0,NULL,NULL,8.5,0.658,1.682,23.5,1010,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 20:33:00 GMT"
False,596.0,NULL,NULL,8.5,0.658,1.923,23.5,1021,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 20:34:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.658,23.5,1022,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 20:35:00 GMT"
False,596.0,NULL,NULL,8.5,0.658,1.687,23.5,1008,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 20:37:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.717,23.5,1023,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 20:38:00 GMT"
False,596.0,NULL,NULL,8.5,0.658,1.756,23.5,1007,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 20:39:00 GMT"
False,596.0,NULL,NULL,8.5,0.658,1.847,23.5,994,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 20:41:00 GMT"
False,596.0,NULL,NULL,8.5,0.659,2.105,23.5,971,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 20:42:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.66,23.5,1011,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 20:43:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.915,23.5,1019,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 20:44:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.909,23.5,979,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 20:45:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.926,23.5,988,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 20:46:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.887,23.5,1012,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 20:47:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.915,23.5,1014,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 20:48:00 GMT"
False,596.0,NULL,NULL,8.5,0.658,1.81,23.5,1007,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 20:49:00 GMT"
True,596.0,NULL,NULL,8.5,0.658,1.905,23.5,1008,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 20:50:00 GMT"
False,596.0,NULL,NULL,8.5,0.658,1.816,23.5,990,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 20:51:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.88,23.5,1009,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 20:52:00 GMT"
False,596.0,NULL,NULL,8.5,0.658,1.92,23.5,988,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 20:53:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.851,23.5,1005,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 20:54:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.761,23.5,1001,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 20:55:00 GMT"
False,596.0,NULL,NULL,8.5,0.658,1.803,23.5,993,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 20:57:00 GMT"
True,596.0,NULL,NULL,8.5,0.658,1.737,23.5,1004,Monticello,59.75,False,True,6.90625,"Thu, 05 Aug 2021 21:00:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.887,23.5,1015,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 21:01:00 GMT"
False,596.0,NULL,NULL,8.5,0.658,1.786,23.5,1016,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 21:03:00 GMT"
False,596.0,NULL,NULL,8.5,0.658,1.696,23.5,1014,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 21:04:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.687,23.5,1015,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 21:05:00 GMT"
